id,consumer_id,product_id,qty,channel,order_ts
1,221,122,4,mobile,2025-03-13T14:09:56.539747
2,551,210,5,web,2024-05-26T23:47:56.539747
3,68,89,6,web,2025-09-09T19:02:56.539747
4,95,195,2,store,2024-12-01T20:48:56.539747
5,371,35,2,store,2024-12-18T10:42:56.539747
6,439,115,1,web,2024-06-22T09:32:56.539747
7,499,167,1,store,2025-02-13T11:22:56.539747
8,286,191,4,web,2024-11-06T10:08:56.539747
9,191,240,2,web,2025-03-22T02:06:56.539747
10,356,389,2,store,2025-09-28T11:51:56.539747
11,403,391,5,web,2024-09-11T19:47:56.539747
12,311,499,3,store,2024-11-11T03:19:56.539747
13,546,121,6,web,2025-06-04T01:55:56.539747
14,343,197,2,store,2024-12-14T05:43:56.539747
15,14,5,4,store,2025-03-05T20:03:56.539747
16,381,155,4,web,2025-06-17T00:55:56.539747
17,226,153,2,store,2025-07-31T09:00:56.539747
18,359,288,4,store,2025-01-10T07:23:56.539747
19,388,43,1,store,2024-05-17T16:35:56.539747
20,559,355,4,store,2025-08-10T11:17:56.539747
21,323,255,2,mobile,2025-08-11T09:22:56.539747
22,564,307,2,mobile,2024-05-22T15:38:56.539747
23,481,395,2,mobile,2025-04-04T13:46:56.539747
24,1,356,3,mobile,2025-08-23T16:41:56.539747
25,141,326,4,store,2025-07-24T11:52:56.539747
26,211,146,5,mobile,2025-07-05T08:28:56.539747
27,189,374,2,mobile,2025-02-09T22:25:56.539747
28,352,12,1,mobile,2025-01-04T18:10:56.539747
29,198,296,2,web,2025-02-21T10:04:56.539747
30,293,60,3,store,2024-08-11T13:40:56.539747
31,99,156,3,store,2025-02-21T02:09:56.539747
32,277,329,4,mobile,2025-09-02T04:14:56.539747
33,575,176,3,store,2025-10-08T15:27:56.539747
34,14,114,3,web,2024-12-15T18:25:56.539747
35,204,409,4,mobile,2024-12-31T04:34:56.539747
36,25,374,6,mobile,2024-11-17T07:05:56.539747
37,14,263,3,web,2024-09-27T10:57:56.539747
38,375,60,6,mobile,2024-12-31T05:52:56.539747
39,123,261,2,mobile,2024-10-25T02:31:56.539747
40,89,297,4,mobile,2024-12-04T02:48:56.539747
41,375,270,5,store,2024-05-26T22:41:56.539747
42,352,216,5,mobile,2025-06-09T01:38:56.539747
43,186,244,4,mobile,2024-08-01T15:48:56.539747
44,251,454,3,store,2025-09-10T06:16:56.539747
45,101,121,2,web,2024-05-20T11:17:56.539747
46,202,359,5,web,2024-07-30T04:58:56.539747
