id,reference,color,country,region,appellation,vintage,grapes,alcohol_percent,bottle_size_l,sweetness,tannin,acidity,rating,price_eur,producer,stock_quantity
1,WINE-00001,sparkling,Spain,Ribera del Duero,AOC,1998,Sangiovese,12.6,0.375,off-dry,low,low,91,53.67,Buchanan-Gonzalez,246
2,WINE-00002,sparkling,France,Jura,AOC,2015,Syrah,13.8,0.375,sweet,low,low,79,69.46,Mills-Wallace,136
3,WINE-00003,white,Spain,Priorat,AVA,2004,Tempranillo,13.5,1.5,off-dry,low,high,96,78.84,"Washington, Lane and Morris",381
4,WINE-00004,red,France,Jura,AVA,2001,Tempranillo,13.2,1.5,sweet,medium,medium,96,111.27,Steele and Sons,370
5,WINE-00005,white,Spain,Ribera del Duero,DOC,2004,Tempranillo,13.4,0.75,sweet,medium,high,80,19.46,Hawkins-Martin,428
6,WINE-00006,white,Italy,Veneto,IGP,2019,"Cabernet Sauvignon, Merlot",13.5,0.75,semi-sweet,high,medium,97,62.62,Nielsen PLC,467
7,WINE-00007,rosé,France,Burgundy,IGP,2018,Cabernet Sauvignon,14.2,1.5,sweet,medium,high,90,107.12,Daniels-Lopez,355
8,WINE-00008,rosé,France,Beaujolais,DOC,1996,Riesling,12.0,0.75,off-dry,high,low,90,50.57,Benton Group,508
9,WINE-00009,sparkling,France,Rhone,IGP,2022,"Pinot Noir, Sauvignon Blanc",13.5,1.5,sweet,medium,high,90,115.18,"Beck, Mckinney and Rowe",154
10,WINE-00010,white,France,Rhone,DOC,2010,Cabernet Sauvignon,14.7,0.375,semi-sweet,medium,low,82,53.76,Lopez-Gardner,378
11,WINE-00011,white,Georgia,Kakheti,AVA,2023,Riesling,14.9,1.5,sweet,medium,medium,90,17.8,Romero-Stokes,649
12,WINE-00012,white,USA,Napa,AOC,2000,Riesling,11.5,1.5,dry,low,low,96,23.24,Green-Sanchez,103
13,WINE-00013,red,Spain,Rioja,DOC,2006,"Pinot Noir, Grenache",13.7,0.75,dry,low,medium,92,60.77,"Lester, Barber and Velasquez",319
14,WINE-00014,red,France,Rhone,DOCG,2011,"Riesling, Pinot Noir",11.1,1.5,semi-sweet,low,high,95,110.21,Blair-Perez,776
15,WINE-00015,red,Georgia,Kakheti,DOCG,2019,"Pinot Noir, Chardonnay",12.0,1.5,semi-sweet,high,low,97,98.51,"Dalton, Herman and Garcia",776
